ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x3a3db8,0x2a3db8,recovered_fn_002a3db8,4,c_decompiled,free,ok
0x3a3dbc,0x2a3dbc,recovered_fn_002a3dbc,20,c_decompiled,FUN_003a3dbc,ok
0x3a3dd0,0x2a3dd0,recovered_fn_002a3dd0,12,c_decompiled,FUN_003a3dd0,ok
0x3a3ddc,0x2a3ddc,recovered_fn_002a3ddc,504,c_decompiled,FUN_003a3ddc,ok
0x3a3fd4,0x2a3fd4,recovered_fn_002a3fd4,1072,c_decompiled,FUN_003a3fd4,ok
0x3a4404,0x2a4404,recovered_fn_002a4404,280,c_decompiled,FUN_003a4404,ok
0x3a451c,0x2a451c,recovered_fn_002a451c,40,c_decompiled,FUN_003a451c,ok
0x3a4544,0x2a4544,recovered_fn_002a4544,64,c_decompiled,FUN_003a4544,ok
0x3a4584,0x2a4584,recovered_fn_002a4584,64,c_decompiled,FUN_003a4584,ok
0x3a45c4,0x2a45c4,recovered_fn_002a45c4,548,c_decompiled,FUN_003a45c4,ok
0x3a47e8,0x2a47e8,recovered_fn_002a47e8,104,c_decompiled,FUN_003a47e8,ok
0x3a4850,0x2a4850,recovered_fn_002a4850,212,c_decompiled,FUN_003a4850,ok
0x3a4924,0x2a4924,recovered_fn_002a4924,504,c_decompiled,FUN_003a4924,ok
0x3a4b1c,0x2a4b1c,recovered_fn_002a4b1c,328,c_decompiled,FUN_003a4b1c,ok
0x3a4c64,0x2a4c64,recovered_fn_002a4c64,4,c_decompiled,FUN_003a4c64,ok
0x3a4c68,0x2a4c68,recovered_fn_002a4c68,4,c_decompiled,free,ok
0x3a4c6c,0x2a4c6c,recovered_fn_002a4c6c,52,c_decompiled,FUN_003a4c6c,ok
0x3a4ca0,0x2a4ca0,recovered_fn_002a4ca0,24,c_decompiled,FUN_003a4ca0,ok
0x3a4cb8,0x2a4cb8,recovered_fn_002a4cb8,4,c_decompiled,FUN_003a4cb8,ok
0x3a4cbc,0x2a4cbc,recovered_fn_002a4cbc,4,c_decompiled,free,ok
0x3a4cc0,0x2a4cc0,recovered_fn_002a4cc0,16,c_decompiled,FUN_003a4cc0,ok
0x3a4cd0,0x2a4cd0,recovered_fn_002a4cd0,516,c_decompiled,FUN_003a4cd0,ok
0x3a4ed4,0x2a4ed4,recovered_fn_002a4ed4,12,c_decompiled,FUN_003a4ed4,ok
0x3a4ee0,0x2a4ee0,recovered_fn_002a4ee0,4,c_decompiled,free,ok
0x3a4ee4,0x2a4ee4,recovered_fn_002a4ee4,52,c_decompiled,FUN_003a4ee4,ok
0x3a4f18,0x2a4f18,recovered_fn_002a4f18,24,c_decompiled,FUN_003a4f18,ok
0x3a4f30,0x2a4f30,recovered_fn_002a4f30,4,c_decompiled,FUN_003a4f30,ok
0x3a4f34,0x2a4f34,recovered_fn_002a4f34,4,c_decompiled,free,ok
0x3a4f38,0x2a4f38,recovered_fn_002a4f38,8,c_decompiled,FUN_003a4f38,ok
0x3a4f40,0x2a4f40,recovered_fn_002a4f40,356,c_decompiled,FUN_003a4f40,ok
0x3a50a4,0x2a50a4,recovered_fn_002a50a4,604,c_decompiled,FUN_003a50a4,ok
0x3a5300,0x2a5300,recovered_fn_002a5300,788,c_decompiled,FUN_003a5300,ok
0x3a5614,0x2a5614,recovered_fn_002a5614,396,c_decompiled,FUN_003a5614,ok
0x3a57a0,0x2a57a0,recovered_fn_002a57a0,4,c_decompiled,free,ok
